variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.056,40.215,162.793,520.655,520.385,62.287,62.973
w1[278],1.108,17.14,42.948,-0.57,-0.999,0.743,0.001
w1[275],1.097,18.591,24.401,-0.708,-1.0,0.635,0.0
w1[45],1.091,16.076,16.770,-0.453,-1.0,0.822,0.0
w1[245],1.089,20.192,30.627,-0.495,-0.998,0.776,0.003
w1[12],1.087,18.053,19.556,-0.408,-1.0,0.849,0.0
w2[542],1.278,5.615,  NA,0.289,0.938,0.88,0.092
w2[524],1.265,6.041,4.413,0.148,0.757,0.916,0.36
w2[523],1.256,6.053,  NA,0.426,0.972,0.821,0.041
w2[541],1.247,6.204,  NA,0.326,0.922,0.85,0.115
w2[525],1.242,6.262,  NA,0.282,0.936,0.888,0.096
p[740],2.167,2.581,  NA,0.561,0.999,0.503,0.001
p[713],1.821,2.935,  NA,0.506,0.363,0.463,0.649
p[666],1.673,3.195,  NA,0.572,0.985,0.468,0.023
p[648],1.486,3.772,  NA,0.636,1.0,0.458,0.0
p[721],1.426,4.091,  NA,-0.3,-0.388,0.754,0.908
phi[1325],1.033,193.794,766.641,-1.554,-1.555,0.1,0.099
phi[1715],1.031,195.509,691.500,0.654,0.657,0.1,0.099
phi[466],1.03,160.683,578.192,-0.084,-0.084,0.101,0.098
phi[795],1.023,341.386,640.571,-0.65,-0.649,0.1,0.099
phi[1067],1.023,429.276,1169.609,-1.443,-1.441,0.096,0.095
