variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.004,329.98,725.783,-230.066,-230.717,38.265,38.348
w1[18],1.011,612.198,  NA,0.936,0.999,0.193,0.002
w1[46],1.01,947.609,1742.675,0.951,0.999,0.162,0.002
w1[65],1.01,741.118,1345.972,0.936,0.998,0.188,0.003
w1[97],1.01,790.42,1036.245,0.787,0.992,0.423,0.012
w1[174],1.008,880.985,955.043,0.981,0.999,0.057,0.002
w2[147],1.054,34.934,53.138,-0.845,-1.0,0.473,0.0
w2[134],1.053,36.467,46.659,-0.928,-1.0,0.325,0.0
w2[149],1.051,36.399,44.635,-0.899,-1.0,0.389,0.0
w2[132],1.048,43.305,102.105,-0.828,-1.0,0.491,0.0
w2[150],1.047,37.877,50.092,-0.821,-1.0,0.517,0.0
p[246],1.158,9.456,  NA,0.523,0.515,0.457,0.719
p[354],1.098,18.712,15.043,-0.32,-0.147,0.401,0.239
p[285],1.061,22.302,  NA,0.246,0.098,0.359,0.175
p[358],1.06,36.936,  NA,0.441,0.282,0.441,0.472
p[247],1.041,46.202,18.323,-0.096,-0.031,0.34,0.2
phi[296],1.014,930.002,2126.303,0.087,0.087,0.102,0.102
phi[283],1.01,757.735,1811.854,-0.165,-0.165,0.104,0.104
phi[612],1.009,1001.103,2171.497,1.296,1.298,0.098,0.098
phi[382],1.007,1322.451,2505.080,2.699,2.7,0.096,0.096
phi[767],1.007,1238.376,2208.376,-0.78,-0.78,0.097,0.096
