variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.01,354.367,1229.090,-239.072,-238.716,36.922,37.213
w1[124],1.012,536.937,392.330,-0.788,-1.0,0.491,0.0
w1[96],1.01,891.231,  NA,0.941,1.0,0.169,0.0
w1[139],1.009,237.416,213.251,-0.632,-0.995,0.632,0.007
w1[229],1.009,491.287,  NA,-0.061,-0.145,0.81,1.258
w1[137],1.008,268.653,151.082,0.382,0.744,0.73,0.378
w2[146],1.007,139.105,232.477,-0.228,-0.469,0.77,0.788
w2[106],1.007,1389.794,  NA,0.928,0.994,0.159,0.009
w2[161],1.006,178.126,212.873,-0.367,-0.725,0.716,0.408
w2[87],1.006,667.233,751.031,-0.99,-1.0,0.084,0.0
w2[158],1.006,223.748,378.546,0.273,0.535,0.708,0.659
p[331],1.499,3.685,  NA,0.399,0.159,0.442,0.26
p[366],1.206,6.738,3.315,-0.286,-0.119,0.382,0.194
p[354],1.159,12.295,6.904,-0.369,-0.179,0.419,0.292
p[299],1.032,46.235,  NA,0.295,0.128,0.401,0.242
p[234],1.031,160.663,143.296,-0.839,-1.0,0.362,0.0
phi[350],1.012,1561.383,2685.004,2.223,2.225,0.096,0.096
phi[385],1.009,972.067,2383.951,1.967,1.968,0.099,0.098
phi[741],1.008,1529.718,2494.295,2.186,2.185,0.1,0.1
phi[750],1.006,1277.958,2827.032,-0.25,-0.251,0.106,0.106
phi[656],1.006,1350.571,2371.117,-0.606,-0.606,0.098,0.096
