variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.0,2672.341,4339.844,1158.415,1158.81,35.372,35.382
w1[259],1.002,7488.647,5089.741,0.429,0.506,0.423,0.443
w1[3],1.002,7613.116,4873.223,0.181,0.241,0.531,0.62
w1[7],1.002,7459.572,4595.603,0.338,0.407,0.463,0.505
w1[277],1.002,8018.296,5533.382,0.108,0.157,0.558,0.678
w1[393],1.002,7546.419,5034.913,0.419,0.497,0.43,0.459
w2[468],1.003,7287.374,4711.539,-0.115,-0.152,0.548,0.668
w2[118],1.002,8374.903,5240.032,0.227,0.303,0.523,0.596
w2[426],1.002,5483.941,3296.755,0.198,0.165,0.372,0.365
w2[192],1.002,7886.562,5383.476,0.143,0.187,0.548,0.659
w2[277],1.002,8314.128,5106.522,0.057,0.066,0.532,0.627
p[680],1.004,4611.07,2319.647,0.105,0.062,0.19,0.136
p[628],1.003,6485.573,4557.589,0.017,0.017,0.441,0.44
p[778],1.003,5574.437,3308.642,0.18,0.137,0.328,0.292
p[585],1.003,4506.417,2486.03,-0.197,-0.149,0.327,0.29
p[764],1.003,5020.894,2348.621,0.097,0.058,0.184,0.134
