variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.0,3001.062,4533.132,833.042,832.988,31.669,31.413
w1[423],1.01,596.034,2407.002,0.666,0.68,0.108,0.104
w1[392],1.01,586.407,2271.992,0.686,0.698,0.102,0.097
w1[426],1.01,603.182,2003.825,0.664,0.678,0.113,0.106
w1[63],1.01,634.458,1967.716,0.723,0.738,0.098,0.092
w1[459],1.01,616.27,1628.205,0.654,0.67,0.116,0.113
w2[87],1.01,572.779,1508.918,0.614,0.626,0.122,0.122
w2[85],1.009,710.706,2075.067,0.663,0.677,0.107,0.105
w2[88],1.008,685.668,2179.273,0.644,0.657,0.114,0.111
w2[89],1.008,592.61,1716.972,0.568,0.583,0.138,0.136
w2[55],1.008,722.146,2242.529,0.633,0.646,0.121,0.12
p[120],1.007,1410.231,3452.412,-0.623,-0.642,0.136,0.13
p[194],1.007,1480.362,3444.364,0.678,0.695,0.121,0.114
p[197],1.007,1353.215,3607.043,0.783,0.796,0.087,0.079
p[607],1.007,1888.694,3881.154,-0.508,-0.533,0.207,0.207
p[122],1.007,1398.186,3553.173,-0.512,-0.529,0.161,0.157
