variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.002,687.5,1035.204,279.487,279.227,22.184,21.693
w1[1],1.008,2744.216,1161.849,0.174,0.226,0.534,0.651
w1[217],1.007,2802.99,1199.188,0.311,0.364,0.465,0.503
w1[85],1.007,2577.45,1536.441,0.187,0.244,0.523,0.599
w1[97],1.007,2678.371,1043.608,0.175,0.195,0.483,0.529
w1[155],1.006,2460.536,1399.512,0.558,0.65,0.362,0.352
w2[62],1.007,2784.762,1458.124,0.074,0.103,0.58,0.741
w2[5],1.006,3569.747,1387.896,0.298,0.384,0.497,0.546
w2[212],1.006,2511.569,1287.907,0.013,0.008,0.463,0.464
w2[63],1.006,2622.027,1179.826,0.049,0.063,0.562,0.699
w2[220],1.006,2279.975,1210.96,0.376,0.452,0.447,0.496
p[252],1.01,2298.743,940.214,-0.011,-0.013,0.417,0.399
p[225],1.01,2882.454,1355.219,0.279,0.39,0.542,0.583
p[288],1.01,1777.313,745.447,0.037,0.02,0.212,0.161
p[313],1.01,1823.223,979.213,0.008,0.014,0.46,0.47
p[290],1.008,2406.76,1050.589,0.005,0.0,0.397,0.389
