variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.001,783.166,1067.017,-320.204,-319.398,29.614,28.725
w1[109],1.009,2501.365,1206.428,0.096,0.103,0.377,0.408
w1[55],1.007,2242.079,1187.249,0.061,0.079,0.402,0.448
w1[164],1.007,2536.071,1139.93,0.059,0.064,0.405,0.454
w1[212],1.007,2505.459,1469.329,0.68,0.719,0.179,0.155
w1[129],1.006,2765.129,1194.597,0.067,0.073,0.399,0.426
w2[125],1.01,2523.514,1110.036,0.342,0.377,0.306,0.332
w2[64],1.006,2448.838,1283.36,0.028,0.036,0.426,0.498
w2[59],1.006,2521.053,1206.537,0.054,0.064,0.408,0.461
w2[27],1.006,1735.63,1100.529,0.305,0.28,0.255,0.284
w2[101],1.006,2058.802,1444.949,0.545,0.58,0.229,0.232
p[347],1.01,2030.962,911.442,-0.004,-0.002,0.078,0.055
p[345],1.01,2059.844,745.68,-0.021,-0.01,0.093,0.063
p[319],1.01,1787.273,1247.148,-0.02,-0.014,0.314,0.303
p[258],1.01,1631.016,597.119,0.107,0.071,0.188,0.15
p[354],1.009,1701.246,788.946,-0.091,-0.057,0.164,0.123
phi[692],1.008,2400.556,1364.221,0.058,0.059,0.098,0.098
phi[379],1.008,2501.604,1355.078,2.664,2.665,0.102,0.096
phi[668],1.008,2627.825,1123.615,-0.478,-0.474,0.103,0.107
phi[86],1.007,2995.84,1251.182,-0.13,-0.129,0.096,0.099
phi[458],1.007,2310.439,1176.742,0.912,0.91,0.097,0.099
