variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.0,715.24,1103.704,42.256,42.422,21.479,21.135
w1[77],1.01,2763.306,1253.111,0.065,0.069,0.37,0.402
w1[54],1.01,2142.462,1411.735,0.0,0.012,0.418,0.472
w1[2],1.009,1835.311,1230.479,0.006,0.005,0.415,0.491
w1[75],1.006,1775.691,1081.105,0.276,0.31,0.344,0.358
w1[1],1.006,1948.722,1476.394,0.104,0.123,0.382,0.427
w2[147],1.008,2185.982,1348.908,0.088,0.105,0.408,0.461
w2[26],1.007,1937.243,1408.623,0.476,0.507,0.267,0.286
w2[88],1.006,2275.306,1533.524,0.014,0.016,0.406,0.464
w2[12],1.006,2138.948,1058.193,0.048,0.062,0.414,0.471
w2[11],1.006,1973.183,1417.701,-0.0,0.0,0.407,0.467
p[339],1.009,2388.57,941.603,0.041,0.026,0.106,0.083
p[346],1.009,1308.738,710.611,0.046,0.027,0.083,0.059
p[323],1.008,1883.214,1078.021,0.085,0.057,0.272,0.246
p[216],1.008,1943.004,883.459,0.567,0.606,0.254,0.231
p[118],1.008,2001.31,1081.882,0.517,0.572,0.276,0.264
