variable,rhat,ess_bulk,ess_tail,mean,median,sd,mad
lp__,1.0,662.448,1132.998,-329.46,-330.103,43.18,43.129
w1[111],1.01,3335.24,1222.246,0.153,0.162,0.362,0.39
w1[297],1.01,2802.415,1220.3,0.268,0.294,0.326,0.343
w1[115],1.01,3602.269,1161.464,0.185,0.221,0.378,0.393
w1[77],1.008,3502.981,1169.731,0.211,0.228,0.359,0.405
w1[87],1.008,3084.559,1030.626,0.245,0.278,0.356,0.379
w2[369],1.01,3370.272,1202.954,-0.132,-0.161,0.394,0.427
w2[467],1.009,3642.851,1246.944,0.159,0.159,0.357,0.379
w2[194],1.009,3289.67,1068.68,0.108,0.128,0.38,0.412
w2[513],1.009,3430.205,1216.327,0.095,0.102,0.335,0.322
w2[88],1.009,3247.047,1083.436,0.12,0.141,0.387,0.419
p[785],1.01,2230.463,817.756,-0.016,-0.006,0.108,0.079
p[694],1.01,1913.57,1016.803,0.089,0.058,0.171,0.128
p[464],1.01,3411.286,1466.387,0.892,0.903,0.053,0.049
p[545],1.01,2676.237,836.866,-0.029,-0.013,0.182,0.129
p[616],1.009,2596.846,1006.258,0.036,0.021,0.194,0.152
phi[326],1.01,3481.434,1404.034,0.529,0.529,0.099,0.102
phi[1033],1.01,4115.205,1410.726,-1.379,-1.377,0.103,0.107
phi[319],1.01,3473.395,1535.312,-0.721,-0.723,0.1,0.101
phi[1379],1.01,3341.838,1406.962,0.675,0.675,0.098,0.101
phi[22],1.01,3481.835,1262.403,-0.671,-0.672,0.103,0.098
